questions_id;categories_id
1;4
2;4
3;4
4;4
5;4
6;4
7;4
8;4
9;4
10;4
11;4
12;4
13;4
14;4
15;4
16;4
17;4
18;4
19;4
20;4
21;4
22;4
23;4
24;4
25;4
26;4
27;4
28;4
29;4
30;4
31;4
32;4
33;4
34;4
35;4
36;4
37;4
38;4
39;4
40;4
41;4
42;4
43;4
44;4
45;4
46;4
47;6
48;6
49;6
50;6
51;6
52;6
53;6
54;6
55;3
56;3
57;3
58;3
59;3
60;3
61;3
62;3
63;6
64;6
65;3
66;3
67;6
68;6
69;3
70;3
71;3
72;6
73;6
74;6
75;6
76;6
77;6
78;3
79;3
80;6
81;6
82;6
83;6
84;6
85;6
86;6
87;6
88;6
89;6
90;6
91;6
92;6
93;6
94;6
95;6
96;6
97;6
98;6
99;6
100;6
101;6
102;6
103;6
104;6
105;6
106;6
107;6
108;6
109;6
110;6
111;6
112;6
113;6
114;6
115;3
116;3
117;3
118;3
119;3
120;3
121;3
122;3
123;3
124;3
125;3
126;3
127;3
128;3
129;3
130;3
131;3
132;3
133;3
134;3
135;3
136;3
137;3
138;3
139;3
140;3
141;3
142;3
143;3
144;3
145;6
146;6
147;6
148;6
149;6
150;6
151;6
152;6
153;6
154;6
155;6
156;6
157;6
158;6
159;3
160;3
161;3
162;3
163;3
164;3
165;3
166;3
167;3
168;3
169;3
170;3
171;3
172;3
173;3
174;3
175;3
176;3
177;3
178;3
179;3
180;3
181;3
182;5
183;5
184;5
185;5
186;5
187;5
188;5
189;5
190;5
191;5
192;5
193;5
194;5
195;5
1;1
2;1
3;1
4;1
5;1
6;1
7;1
8;1
9;1
10;2
11;1
12;2
13;2
14;2
15;1
16;2
17;2
18;2
19;2
20;2
21;2
22;2
23;1
24;1
25;1
26;1
27;1
28;1
29;1
30;1
31;1
32;1
33;1
34;1
35;1
36;1
37;1
38;1
39;1
40;1
41;1
42;1
43;1
44;1
45;1
46;1
47;1
48;1
49;1
50;2
51;2
52;2
53;2
54;2
55;1
56;1
57;1
58;1
59;2
60;2
61;2
62;2
63;2
64;2
65;2
66;2
67;2
68;2
69;1
70;2
71;1
72;2
73;2
74;2
75;2
76;2
77;2
78;1
79;1
80;1
81;1
82;1
83;1
84;1
85;1
86;1
87;1
88;1
89;1
90;1
91;2
92;2
93;2
94;2
95;2
96;2
97;2
98;2
99;2
100;2
101;2
102;2
103;1
104;1
105;1
106;1
107;1
108;1
109;1
110;1
111;1
112;1
113;1
114;1
115;2
116;2
117;2
118;2
119;2
120;2
121;2
122;2
123;2
124;2
125;2
126;2
127;2
128;2
129;2
130;2
131;2
132;2
133;2
134;2
135;2
136;2
137;2
138;2
139;2
140;2
141;2
142;2
143;2
144;2
145;1
146;1
147;1
148;1
149;1
150;1
151;1
152;1
153;1
154;1
155;1
156;1
157;1
158;1
159;2
160;2
161;2
162;2
163;2
164;2
165;2
166;2
167;2
168;2
169;2
170;2
171;2
172;2
173;2
174;2
175;2
176;2
177;2
178;2
179;2
180;2
181;2
182;1
183;1
184;1
185;1
186;2
187;2
188;2
189;1
190;1
191;1
192;1
193;1
194;1
195;1
1;41
2;42
3;43
4;44
5;45
6;46
7;47
8;48
9;49
10;50
11;51
12;52
13;53
14;53
15;54
16;55
17;55
18;56
19;57
20;57
21;58
22;58
23;59
24;60
25;61
26;62
27;63
28;64
29;64
30;65
31;65
32;66
33;67
34;67
35;67
36;67
37;68
38;69
39;70
40;71
41;72
42;72
43;73
44;73
45;73
46;74
47;75
48;76
49;77
50;78
51;78
52;79
53;80
54;81
55;82
56;82
57;82
58;83
59;84
60;84
61;85
62;85
63;86
64;86
65;87
66;87
67;88
68;88
69;88
70;89
71;89
72;90
73;90
74;90
75;90
76;90
77;90
78;91
79;91
80;92
81;93
82;94
83;95
84;96
85;97
86;98
87;98
88;99
89;100
90;101
91;102
92;103
93;104
94;105
95;106
96;107
97;108
98;109
99;110
100;111
101;112
102;113
103;114
104;115
105;115
106;115
107;116
108;116
109;117
110;118
111;119
112;120
113;121
114;121
115;122
116;123
117;123
118;124
119;124
120;125
121;125
122;126
123;127
124;128
125;129
126;130
127;130
128;131
129;132
130;133
131;134
132;135
133;136
134;136
135;136
136;136
137;136
138;136
139;136
140;136
141;136
142;136
143;136
144;137
145;138
146;138
147;138
148;138
149;139
150;140
151;141
152;142
153;143
154;144
155;145
156;146
157;147
158;148
159;149
160;149
161;150
162;151
163;151
164;151
165;151
166;152
167;152
168;152
169;152
170;152
171;153
172;153
173;154
174;155
175;156
176;157
177;158
178;159
179;160
180;160
181;161
182;162
183;163
184;164
185;164
186;165
187;165
188;165
189;166
190;166
191;166
192;167
193;168
194;169
195;170
